Reading number	f04l0clstt		fo4l1clstt		fo4l2strIN		 epochsecs		epochmics
num: 1704	cnts[628]: 92232294 	cnts[629]: 92232293 	cnts[612]: 2166677555 	 time: 1359476015 	347462
num: 1705 	cnts[628]: 92232294 	cnts[629]: 92232293 	cnts[612]: 2166677555 	 time: 1359476075 	603960
num: 1706 	cnts[628]: 92232295 	cnts[629]: 92232294 	cnts[612]: 2166677558 	 time: 1359476115 	645700
num: 1707 	cnts[628]: 92232295 	cnts[629]: 92232294 	cnts[612]: 2166677614 	 time: 1359476116 	648790
num: 1708 	cnts[628]: 0 		cnts[629]: 0 		cnts[612]: 0 		 time: 1359476135 	860761
num: 1709 	cnts[628]: 0 		cnts[629]: 0 		cnts[612]: 0 		 time: 1359476135 	860761
num: 1710 	cnts[628]: 92232565 	cnts[629]: 92232564 	cnts[612]: 2166692197 	 time: 1359476196 	336927
num: 1711 	cnts[628]: 92232565 	cnts[629]: 92232564 	cnts[612]: 2166692197 	 time: 1359476256 	593426
num: 1712 	cnts[628]: 92232565 	cnts[629]: 92232564 	cnts[612]: 2166692197 	 time: 1359476316 	849927
num: 1713 	cnts[628]: 92232565 	cnts[629]: 92232564 	cnts[612]: 2166692197 	 time: 1359476377 	88429

